Title,DOI,Abstract,URLs,Authors,Item type,Journal,Full journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),Keywords,Copyright,Affiliation,Language,Series
Analysis and evaluation of the android best practices impact on the efficiency of mobile applications,10.1109/sbesc.2013.39,"This paper evaluates the impacts of two most promising Android best practices regarding performance and energy consumption. In the experiments, the practices are applied to the code of an Android application and the code efficiency on different mobile devices is analyzed. Experimental results indicate that the use of the most appropriate for syntax and the avoiding getters/setters improves the Android codes efficiency.",http://dx.doi.org/10.1109/sbesc.2013.39,"Tonini AR,Fischer LM,Mattos JC,Brisolara LB",Conference Paper,,,2013,,,,IEEE,,,2013 III Brazilian Symposium on Computing Systems Engineering,2013 III Brazilian Symposium on Computing Systems Engineering (SBESC),"Niteroi, Rio De Janeiro, Brazil",2013/12/4-2013/12/8,2013-11,,9.78148E+12,,,,,,,,
Analyzing the harmful effect of god class refactoring on power consumption,10.1109/ms.2014.23,"Energy efficiency and other sustainability issues are common concerns in the material production industries but rarely addressed in software development efforts. Instead, traditional software development life cycles and methodologies place an emphasis on maintainability and other intrinsic software quality features. One standard practice is to improve maintainability by detecting bad smells in a system's architecture and then applying refactoring transformations to deal with those smells. The refactoring research area is sufficiently mature for most techniques to achieve more maintainable system architectures, but the authors argue that they can also lead to both decreased sustainability and increased power consumption. Accordingly, this article analyzes the relationship between architecture sustainability and maintainability by providing empirical evidence of how power consumption increases after refactoring.",http://dx.doi.org/10.1109/ms.2014.23,"Perez-Castillo R,Piattini M",Journal Article,IEEE Softw.,IEEE Software,2014,31,3,48-54,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,2014-05,,,,0740-7459,1937-4194,,,,,
APE: an annotation language and middleware for energy-efficient mobile application development,10.1145/2568225.2568288,"Energy-efficiency is a key concern in continuously-running mobile applications, such as those for health and context monitoring. Unfortunately, developers must implement complex and customized power-management policies for each application. This involves the use of complex primitives and writing error-prone multithreaded code to monitor hardware state. To address this problem, we present APE, an annotation language and middleware service that eases the development of energy-efficient Android applications. APE annotations are used to demarcate a power-hungry code segment whose execution is deferred until the device enters a state that minimizes the cost of that operation. The execution of power-hungry operations is coordinated across applications by the APE middleware. Several examples show the expressive power of our approach. A case study of using APE annotations in a real mobile sensing application shows that annotations can cleanly specify a power management policy and reduce the complexity of its implementation. An empirical evaluation of the middleware shows that APE introduces negligible overhead and equals hand-tuned code in energy savings, in this case achieving 63.4% energy savings compared to the case when there is no coordination.",http://dx.doi.org/10.1145/2568225.2568288,"Nikzad N,Chipara O,Griswold WG",Conference Paper,,,2014,,,,ACM,"New York, NY, USA",,Proceedings of the 36th International Conference on Software Engineering,ICSE '14: 36th International Conference on Software Engineering,Hyderabad India,2014/5/31-2014/6/7,5/31/14,,9.78145E+12,,,,,,"University of California at San Diego, USA; University of Iowa, USA",,
Assessing the impact of service workers on the energy efficiency of progressive web apps,10.1109/mobilesoft.2017.7,"Context. Mobile web apps represent a large share of the Internet today. However, they still lag behind native apps in terms of user experience. Progressive Web Apps (PWAs) are a new technology introduced by Google that aims at bridging this gap, with a set of APIs known as service workers at its core. Goal. In this paper, we present an empirical study that evaluates the impact of service workers on the energy efficiency of PWAs, when operating in different network conditions on two different generations of mobile devices. Method. We designed an empirical experiment with two main factors: the use of service workers and the type of network available (2G or WiFi). We performed the experiment by running a total of 7 PWAs on two devices (an LG G2 and a Nexus 6P) that we evaluated as blocking factor. Our response variable is the energy consumption of the devices. Results. Our results show that service workers do not have a significant impact over the energy consumption of the two devices, regardless of the network conditions. Also, no interaction was detected between the two factors. However, some patterns in the data show different behaviors among PWAs. Conclusions. This paper represents a first empirical investigation on PWAs. Our results show that the PWA and service workers technology is promising in terms of energy efficiency.",http://dx.doi.org/10.1109/mobilesoft.2017.7,"Malavolta I,Procaccianti G,Noorland P,Vukmirovic P",Conference Paper,,,2017,,,,IEEE,,,2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft),2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft),"Buenos Aires, Argentina",2017/5/22-2017/5/23,2017-05,,9.78154E+12,,,,,,,,
Automated energy optimization of HTTP requests for mobile applications,10.1145/2884781.2884867,"Energy is a critical resource for apps that run on mobile devices. Among all operations, making HTTP requests is one of the most energy consuming. Previous studies have shown that bundling smaller HTTP requests into a single larger HTTP request can be an effective way to improve energy efficiency of network communication, but have not defined an automated way to detect when apps can be bundled nor to transform the apps to do this bundling. In this paper we propose an approach to reduce the energy consumption of HTTP requests in Android apps by automatically detecting and then bundling multiple HTTP requests. Our approach first detects HTTP requests that can be bundled using static analysis, then uses a proxy based technique to bundle HTTP requests at runtime. We evaluated our approach on a set of real world marketplace Android apps. In this evaluation, our approach achieved an average energy reduction of 15% for the subject apps and did not impose a significant runtime overhead on the optimized apps.",http://dx.doi.org/10.1145/2884781.2884867,"Li D,Lyu Y,Gui J,Halfond WG",Conference Paper,,,2016,,,249-260,ACM,"New York, NY, USA",,Proceedings of the 38th International Conference on Software Engineering,ICSE '16: 38th International Conference on Software Engineering,Austin Texas,2016/5/14-2016/5/22,5/14/16,,9.78145E+12,,,,,http://www.acm.org/publications/policies/copyright_policy#Background,"University of Southern California, Los Angeles, California",,
Caching to reduce mobile app energy consumption,10.1145/3125778,"Mobile applications consume device energy for their operations, and the fast rate of battery depletion on mobile devices poses a major usability hurdle. After the display, data communication is the second-biggest consumer of mobile device energy. At the same time, software applications that run on mobile devices represent a fast-growing product segment. Typically, these applications serve as front-end display mechanisms, which fetch data from remote servers and display the information to the user in an appropriate format‚Äîincurring significant data communication overheads in the process. In this work, we propose methods to reduce energy overheads in mobile devices due to data communication by leveraging data caching technology. A review of existing caching mechanisms revealed that they are primarily designed for optimizing response time performance and cannot be easily ported to mobile devices for energy savings. Further, architectural differences between traditional client-server and mobile communications infrastructures make the use of existing caching technologies unsuitable in mobile devices. In this article, we propose a set of two new caching approaches specifically designed with the constraints of mobile devices in mind: (a) a response caching approach and (b) an object caching approach. Our experiments show that, even for a small cache size of 250MB, object caching can reduce energy consumption on average by 45% compared to the no-cache case, and response caching can reduce energy consumption by 20% compared to the no-cache case. The benefits increase with larger cache sizes. These results demonstrate the efficacy of our proposed method and raise the possibility of significantly extending mobile device battery life.",http://dx.doi.org/10.1145/3125778,"Dutta K,Vandermeer D",Journal Article,ACM Trans. Web,ACM Transactions on the Web,2018,12,1,30-Jan,Association for Computing Machinery (ACM),,,,,,,2/28/18,,,,1559-1131,1559-114X,,https://www.acm.org/publications/policies/copyright_policy#Background,"University of South Florida, Tampa, USA; Florida International University, Miami, USA",en,
Calculating source line level energy information for Android applications,10.1145/2483760.2483780,"The popularity of mobile apps continues to grow as developers take advantage of the sensors and data available on mobile devices. However, the increased functionality comes with a higher energy cost, which can cause a problem for users on battery constrained mobile devices. To improve the energy consumption of mobile apps, developers need detailed information about the energy consumption of their applications. Existing techniques have drawbacks that limit their usefulness or provide information at too high of a level of granularity, such as components or methods. Our approach is able to calculate source line level energy consumption information. It does this by combining hardware-based power measurements with program analysis and statistical modeling. Our empirical evaluation of the approach shows that it is fast and accurate.",http://dx.doi.org/10.1145/2483760.2483780,"Li D,Hao S,Halfond WG,Govindan R",Conference Paper,,,2013,,,,ACM,"New York, NY, USA",,Proceedings of the 2013 International Symposium on Software Testing and Analysis,ISSTA '13: Iitsnternational Symposium on Software Testing and Analysis,Lugano Switzerland,2013/7/15-2013/7/20,7/15/13,,9.78145E+12,,,,,,"University of Southern California, USA",,
Catalog of energy patterns for mobile applications,10.1007/s10664-019-09682-0,"Software engineers make use of design patterns for reasons that range from performance to code comprehensibility. Several design patterns capturing the body of knowledge of best practices have been proposed in the past, namely creational, structural and behavioral patterns. However, with the advent of mobile devices, it becomes a necessity a catalog of design patterns for energy efficiency. In this work, we inspect commits, issues and pull requests of 1027 Android and 756 iOS apps to identify common practices when improving energy efficiency. This analysis yielded a catalog, available online, with 22 design patterns related to improving the energy efficiency of mobile apps. We argue that this catalog might be of relevance to other domains such as Cyber-Physical Systems and Internet of Things. As a side contribution, an analysis of the differences between Android and iOS devices shows that the Android community is more energy-aware.",http://dx.doi.org/10.1007/s10664-019-09682-0,"Cruz L,Abreu R",Journal Article,Empir. Softw. Eng.,Empirical Software Engineer,2019,24,4,2209-2235,Springer Science and Business Media LLC,,,,,,,2019-08,,,,1382-3256,1573-7616,,,,en,
Characterizing energy-aware software projects: Are they different?,,"The improvement in battery technology for battery-driven devices is insignificant compared to their computing ability. In spite of the overwhelming advances in processing ability, adoption of sophisticated applications is hindered by the fear of shorter battery life. This is one of the several reasons software developers are becoming conscious of writing energy efficient code. Research has been conducted to model software energy consumption, to reduce energy drains, and to understand developers expertise on energy efficiency. In this paper, however, we investigate the nature of energy-aware software projects. We observed that projects concerned with energy issues are larger and more popular than the projects that do not address energy consumption. Energy related code changes are larger than others (e.g., bug fixes). In addition, our initial results suggest that energy efficiency is mostly addressed on certain platforms and applications.",https://ieeexplore.ieee.org/document/7832937,"Chowdhury SA, Hindle A",Conference Paper,,,2016,,,508-511,IEEE,,,2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),,,,2016-05,,9.78145E+12,9.78151E+12,,,,,,,
Characterizing the performance and energy efficiency of lock-free data structures,10.1109/interact.2011.13,"Accesses to shared data structures in multithreaded programs must be correctly synchronized to ensure data consistency and integrity. However, this synchronization between threads is a common source of performance problems in multithreaded applications. Lock-free data structures are an alternative to traditional synchronization methods that have potential for not only better performance and scalability, but better energy efficiency as well.This paper presents a study of the relationship between the performance and energy consumption of various lock-free data structures based on the compare-and-swap primitive. We give a head-to-head comparison of lock-free and locking implementations of three data structures executing a set of highly contentious workloads. We compare the execution time, peak power and total energy consumption of each and explain these results with the help of hardware performance counters. Our results show that under these workloads, the lock-free variants often perform better and use less energy then their traditional locking implementations.",http://dx.doi.org/10.1109/interact.2011.13,"Hunt N,Sandhu PS,Ceze L",Conference Paper,,,2011,,,,IEEE,,,2011 15th Workshop on Interaction between Compilers and Computer Architectures,2011 INTERACT-15: 15th Workshop on Interaction between Compilers and Computer Architectures,"San Antonio, TX, USA",2011/2/12-2011/2/12,2011-02,,9.78146E+12,,,,,,,,
"Choosing the ""best"" Sorting Algorithm for Optimal Energy Consumption",10.5220/0002245401990206,"Reducing the energy consumption of mobile systems in order to prolong their operating time has been an active research topic for quite some time. Such systems are typically battery powered and thus, their uptime depends on the energy consumption of the used hardware and software components. Novel strategies that allow software systems to dynamically adapt themselves at runtime can be effectively used to reduce energy consumption. The focus of this paper is based on a case study that uses an energy management component that can dynamically choose the “best” sorting algorithm during a multi-party mobile communication. The results indicate that Insertionsort is the most optimal sorting algorithm when in comes to saving energy.",http://dx.doi.org/10.5220/0002245401990206;https://www.scitepress.org/papers/2009/22454/22454.pdf,"Bunse C, Höpfner H, Roychoudhury S, and Mansour E",Conference Paper,,,2009,,,,SciTePress - Science and and Technology Publications,,,Proceedings of the 4th International Conference on Software and Data Technologies,4th International Conference on Software and Data Technologies,"Sofia, Bulgaria",2009/7/26-2009/7/29,2009,3/23/26,9.7899E+12,9.7899E+12,,,,,,,
Classifying green software engineering - the GREENSOFT model,10.1007/s40568-013-0027-z,,http://dx.doi.org/10.1007/s40568-013-0027-z,"Naumann S,Kern E,Dick M",Journal Article,Softwaretechnik-Trends,Softwaretechnik-Trends,2013,33,2,18-19,Springer Science and Business Media LLC,,,,,,,2013-05,,,,0720-8928,,,,,en,
Client-side energy efficiency of HTTP/2 for web and mobile app developers,10.1109/saner.2016.77,"Recent technological advancements have enabledmobile devices to provide mobile users with substantial capabilityand accessibility. Energy is evidently one of the most criticalresources for such devices, in spite of the substantial gain inpopularity of mobile devices, such as smartphones, their utilityis severely constrained by the bounded battery capacity. Mobileusers are very interested in accessing the Internet although it isone of the most expensive operations in terms of energy and cost. HTTP/2 has been proposed and accepted as the new standardfor supporting the World Wide Web. HTTP/2 is expected tooffer better performance, such as reduced page load time. Consequently, from the mobile users point of view, the question arises:does HTTP/2 offer improved energy consumption performanceachieving longer battery life?In this paper, we compare the energy consumption of HTTP/2with its predecessor (i.e., HTTP/1.1) using a variety of realworld and synthetic test scenarios. We also investigate howTransport Layer Security (TLS) impacts the energy consumptionof the mobile devices. Our study suggests that Round TripTime (RTT) is one of the biggest factors in deciding howadvantageous HTTP/2 is compared to HTTP/1.1. We concludethat for networks with higher RTTs, HTTP/2 has better energyconsumption performance than HTTP/1.1.",http://dx.doi.org/10.1109/saner.2016.77,"Chowdhury SA,Sapra V,Hindle A",Conference Paper,,,2016,,,,IEEE,,,"2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","2016 IEEE 23rd International Conference on Software Analysis, Evolution and Reengineering (SANER)",Suita,2016/3/14-2016/3/18,2016-03,,9.78151E+12,,,,,,,,
Comparing the energy consumption of WebAssembly and JavaScript in mobile browsers,10.5220/0012205600003584,"With WebAssembly, a new web technology has been developed that allows compiled bytecode to be executed directly in the browser, which, unlike JavaScript code, does not have to be initially compiled by the browser and can therefore be executed faster. This allows the development of complex web applications. A challenge for these complex web applications is the increasing importance of mobile devices and their limited battery capacity. The goal of this study is to determine whether the energy consumption of web applications can be reduced by using WebAssembly instead of JavaScript. For this purpose, an automated experiment was performed on Android smartphones with different algorithms using WebAssembly and JavaScript using common browsers. The energy consumption was measured hardware-based with the Monsoon HVPM measuring device. The results show that WebAssembly consumes about 20% to 30% less energy than JavaScript. In addition, differences between the two tested browsers, Chrome and Firefox, in the energy consumption of JavaScript and WebAssembly were found. This potential reduction of energy consumption also allows to reduce the user’s CO2 footprint. The flexible study design used, allows for further investigations with other types of devices and other compilers",http://dx.doi.org/10.5220/0012205600003584,"Pockstaller D,Huber S,Demetz L",Conference Paper,,,2023,,,121-127,SCITEPRESS - Science and Technology Publications,,,Proceedings of the 19th International Conference on Web Information Systems and Technologies,19th International Conference on Web Information Systems and Technologies,"Rome, Italy",2023/11/15-2023/11/17,2023,,,,,,,,"University of Applied Sciences Kufstein, 6330 Kufstein, Austria, --- Select a Country ---; University of Innsbruck, 6020 Innsbruck, Austria, --- Select a Country ---",,
Compiler-directed high-level energy estimation and optimization,10.1145/1113830.1113835,"The demand for high-performance architectures and powerful battery-operated mobile devices has accentuated the need for power optimization. While many power-oriented hardware optimization techniques have been proposed and incorporated in current systems, the increasingly critical power constraints have made it essential to look for software-level optimizations as well. The compiler can play a pivotal role in addressing the power constraints of a system as it wields a significant influence on the application's runtime behavior. This paper presents a novel Energy-Aware Compilation (EAC) framework that estimates and optimizes energy consumption of a given code, taking as input the architectural and technological parameters, energy models, and energy/performance/code size constraints. The framework has been validated using a cycle-accurate architectural-level energy simulator and found to be within 6% error margin while providing significant estimation speedup. The estimation speed of EAC is the key to the number of optimization alternatives that can be explored within a reasonable compilation time. As shown in this paper, EAC allows compiler writers and system designers to investigate power-performance tradeoffs of traditional compiler optimizations and to develop energy-conscious high-level code transformations.",http://dx.doi.org/10.1145/1113830.1113835,"Kadayif I,Kandemir M,Chen G,Vijaykrishnan N,Irwin MJ,Sivasubramaniam A",Journal Article,ACM Trans. Embed. Comput. Syst.,ACM Transactions on Embedded Computing Systems,2005,4,4,819-850,Association for Computing Machinery (ACM),,,,,,,2005-11,,,,1539-9087,1558-3465,,,"The Pennsylvania State University, University Park, PA",en,
Component-level energy consumption estimation for distributed java-based software systems,10.1007/978-3-540-87891-9_7,Component-level energy consumption estimation for distributed java-based software systems,http://dx.doi.org/10.1007/978-3-540-87891-9_7,"Seo C,Malek S,Medvidovic N",Book Chapter,,,2008,,,97-113,Springer Berlin Heidelberg,"Berlin, Heidelberg",Component-Based Software Engineering,,,,,2008,,9.78354E+12,9.78354E+12,0302-9743,1611-3349,,,,,Lecture Notes in Computer Science
