Title,Authors,Year,Abstract,DOI,Type,Venue,Domain,Research_Keywords,Research_Approach,Context,Contribution
Architectural Tactics to Optimize Software for Energy Efficiency in the Public Cloud,"Vos, Sophie;  Verdecchia, Roberto;  Heitlager, Ilja;  Lago, Patricia",2022,"A promise of cloud computing is the reduction of energy footprint enabled by economies of scale. Unfortunately, little research is available on how cloud consumers can reduce their energy footprint when running software in the public cloud. Moreover, cloud consumers do not have full access to information regarding their cloud infrastructure usage, which is required to understand the impact of design decisions on energy usage. The purpose of our study is to support cloud consumers in developing energy-efficient workloads in the public cloud. To achieve our goal, we collaborated with a large cloud solution provider to discover an initial set of reusable architectural tactics for software energy efficiency. Starting from interviews with 17 practitioners, we reviewed and selected available tactics to improve the energy efficiency of individual workloads in the public cloud, and synthetized the identified tactics in a reusable model. In addition, we conducted a case study to assess the impact of utilizing a tactic, which was selected following a prioritization provided by the practitioners. Our results demonstrate the possibility to architect cloud workloads for energy efficiency through reasoning and estimation of resource optimization. However, the process is not (yet) straightforward due to the current lack of transparency of cloud providers. ",10.1109/ICT4S55073.2022.00019,Conference paper,,Software Architecture,Energy Efficiency Tactics; Cloud; Resource Optimization; Cloud Architecture; Case Study; Energy Efficiency,Evaluation Research,Public cloud workloads studied in collaboration with a cloud provider using pracitioner interviews and a case study. Identification and synthesis of reusable architectural tactics to improve the energy efficiency of software workloads in the public cloud,Empirical evidence
Assessment of REST and WebSocket in regards to their energy consumption for mobile applications," Fischer, Rene;  Braun, Peter; Herwig, Volker",2015,"Mobile devices dominate a majority of our business and private life. The increasing number of apps and powerful hardware ensure high demand and a growing usage rate. Based on the device sizes, the space for hardware is limited and this fact impacts battery size and, therefore, battery life. Mobile phone vendors look for ways to increase battery life through hardware and software features. This paper analyses two popular interface technologies for mobile devices, REST and WebSocket in regards to their energy consumption. It is shown that the use of WebSockets consumes less energy than the use of REST. We identify as the reason the pattern of REST to connect and disconnect, which consumes more energy than a connection that stays open. ",10.1109/IDAACS.2015.7340755,Conference paper,,Communication Technologies,REST; WebSocket; Energy Consumption; Communication Protocols; Mobile Software Engineering,Evaluation Research,Mobile applications evaluated with respect to energy consumption of different communication technologies (REST and WebSocket),Empirical evidence
Automated Refactoring for Energy-Aware Software,"Connolly Bree, Deaglan;  Ó Cinnéide, Mel",2021,"Executing software consumes energy, usually in the form of electricity. The amount of electricity expended on running software is not trivial. With the growth of mobile computing and much of our electricity being generated from non-renewable sources, a greater focus is being placed on energy consumption habits and how consumption can be reduced. This work aims to explore the ways in which higher-level features of software, e.g. design patterns and code smells, can be refactored to reduce the energy consumed by software during execution. This project will clarify the impact these features have on energy efficiency and direct future research into the development of an automated refactoring tool. ",10.1109/ICSME52107.2021.00082,Conference paper,,Software Maintenance,Energy-Aware Refactoring; Design Pattern; Code Smells; Energy Consumption; Software Design,Solution Proposal,Software systems analyzed at code and design level with a focus on execution-time energy consumption towards automated refactoring of design patterns and code smells to improve software energy efficiency,Conceptual Framework
Automatically Assessing Software Architecture Compliance With Green Software Patterns," A. Malik;  Y. Feng;  Balani, Navveen;  Malik, Amisha;  S. Rakhunathan; Ahuja, Naman;  T. Sivayoganathan;  F. Sarro;  L. Li;  Sarro, Federica;  Feng, Yile;  N. Balani;  Sivayoganathan, Thuvaragan; N. Ahuja;  Rakhunathan, Srinivasan;  Li, Luming",2025,"With increasing awareness of climate change, there is a growing emphasis on the environmental impact of digital solutions. While numerous tools are available to assess software environmental footprint post-development, few focus on sustainability during the software design phase. To address this gap, we propose EcoDocSense, a framework that supports engineers to evaluate the sustainability of a software design at design time. Using Large Language Models fine-tuned on a catalog of green software patterns, EcoDocSense analyzes software architecture documents to generate sustainability reports, assessing alignment with green software practices to minimize carbon emissions and recommending improvements. As one of the first frameworks targeting sustainability at the design stage, EcoDocSense represents a significant advancement, though opportunities remain for further enhancement. In future, we plan to extend EcoDocSense's applicability to a variety of architectural types and documents as well as to provide the capability to estimate carbon emissions. ",10.1109/GREENS66463.2025.00015,IEEE Conferences,"['', 'Proceedings of the 2025 IEEE/ACM 9th International Workshop on Green and Sustainable Software']",Software Architecture,Green Software Patterns; Software-Architecture; Design-Time Sustainability; LLM,Solution Proposal,Software Architecture design documents analyzed at design time using an automated assessment framework which uses green software patterns and recommendations,Framework
Awakening awareness on energy consumption in software engineering,"Jagroep, Erik A.;  Lago, Patricia;  Brinkkemper, Sjaak;  van Vliet, Rob;  van der Werf, Jan Martijn;  Blom, Leen;  Broekman, Jordy",2017,"Software producing organizations have the ability to address the energy impact of their ICT solutions during the development process. However, while industry is convinced of the energy impact of hardware, the role of software has mostly been acknowledged by researchers in software engineering. Strengthened by the limited practical knowledge to reduce the energy consumption, organizations have less control over the energy impact of their products and lose the contribution of software towards energy related strategies. Consequently, industry risks not being able to meet customer requirements or even fulfillcorporate sustainability goals. In this paper we perform an exploratory case study on how to create and maintain awareness on an energy consumption perspective for software among stakeholders involved with the development of software products. During the study, we followed the development process of two commercial software products and provided direct feedback to the stakeholders on the effects of their development efforts, specifically concerning energy consumption and performance, using an energy dashboard. Multiple awareness measurements allowed us to keep track of changes over time on specific aspects affecting software development. Our results show that, despite a mixed sentiment towards the dashboard, changed awareness has triggered discussion on the energy consumption of software. ",10.1109/ICSE-SEIS.2017.10,Conference paper,,Software Engineering,Energy Awareness; Software Development Process; Energy Consumption Mitigation; Sustainable Software Engineering,Evaluation Research,Software Development accompanied by researchers measuring energy consumption and performance shown on a dashboard. Awarenex mechanisms influence stakeholder perception and discussion of software energy consumption,Empirical evidence
"Comparing REST, SOAP, Socket and gRPC in computation offloading of mobile applications: An energy cost analysis"," Eler, Marcelo Medeiros;  Cordeiro, Daniel; Chamas, Carolina Luiza",2017,"There has been a high concern regarding the energy saving on mobile devices recently, for mobile devices have been performing increasingly complex tasks over time. The computation offloading is one of the most popular techniques used by developers as an effective way of saving energy on mobile devices, which consists on executing complex tasks in external servers with different purposes including save energy. Deciding towards offloading certain tasks requires to understand the influence of the amount of data, amount of computation, and the network profile. Several studies have investigated the influence of different wireless flavours, such as 3G, 4G and wifi, but no study has investigated the influence of the communication choices on the energy cost. Therefore, in this paper, we present an experiment we conducted to evaluate the energy consumption of different communication protocols and architectural styles, namely REST, SOAP, Socket and gRPC, when executing algorithms of different complexities and different input sizes and types. Results show that local execution is more economic with less complex algorithms and small input data. When it comes to remote execution, REST is the most economic choice followed by Socket. Moreover, our data show that computation offloading can save up to 10 time as much energy when compared to local execution for some executions configurations. ",10.1109/LATINCOM.2017.8240185,Conference paper,,Communication Technologies,REST; Socket; SOAP; GRPC; Energy Consumption; Communication Protocols; Computation Offloading; Mobile Software Engineering; Energy Efficiency; Distributed Systems,Validation Research,Mobile applications executing local and offloaded computations under varying workloads and communication protocols,Empirical evidence
Deriving power models for architecture-level energy efficiency analyses,"Stier, Christian;  Werle, Dominik;  Koziolek, Anne",2017,"In early design phases and during software evolution, design-time energy efficiency analyses enable software architects to reason on the effect of design decisions on energy efficiency. Energy efficiency analyses rely on accurate power models to estimate power consumption. Deriving power models that are both accurate and usable for design time predictions requires extensive measurements and manual analysis. Existing approaches that aim to automate the extraction of power models focus on the construction of models for runtime estimation of power consumption. Power models constructed by these approaches do not allow users to identify the central set of system metrics that impact energy efficiency prediction accuracy. The identification of these central metrics is important for design time analyses, as an accurate prediction of each metric incurs modeling effort. We propose a methodology for the automated construction of multi-metric power models using systematic experimentation. Our approach enables the automated training and selection of power models for the design time prediction of power consumption. We validate our approach by evaluating the prediction accuracy of derived power models for a set of enterprise and data-intensive application benchmarks. ",10.1007/978-3-319-66583-2_14,Conference paper,Lecture Notes in Computer Science,Software Architecture,Power Modelling; Design-Time Energy Analysis; Architectural Metrics; Energy Consumption; Prediction; Energy-Efficient Software Design,Validation Research,"Architecture-level, design-time analysis using enterprise and data-intensive application benchmarks for an automated construction and selection of multi-metric power models to support design-time energy efficiency analysis",Method
EACOF: A framework for providing energy transparency to enable Energy-Aware software development," Eder, Kerstin I.; Field, Hayden;  Anderson, Glen",2014,"Making energy consumption data accessible to software developers is an essential step towards energy efficient software engineering. The presence of various different, bespoke and incompatible, methods of instrumentation to obtain energy readings is currently limiting the widespread use of energy data in software development. This paper presents EACOF, a modular Energy-Aware Computing Framework that provides a layer of abstraction between sources of energy data and the applications that exploit them. EACOF replaces platform specific instrumentation through two APIs-one accepts input to the framework while the other provides access to application software. This allows developers to profile their code for energy consumption in an easy and portable manner using simple API calls. We outline the design of our framework and provide details of the API functionality. In a use case, where we investigate the impact of data bit width on the energy consumption of various sorting algorithms, we demonstrate that the data obtained using eacof provides interesting, sometimes counter-intuitive, insights. All the code is available online under an open source license. http://github.com/eacof. Copyright 2014 ACM. ",10.1145/2554850.2554920,Conference paper,Proceedings of the ACM Symposium on Applied Computing,Framework,Energy Consumption; Measurement; Profiling; Framework,Solution Proposal,Created a Framework supporting developers to percieve applications energy consumption by abstracting heterogenous energy measurement sources and enables portable energy profiling for developers,Framework
ETSTM: A new green software model,"Hou, Gang;  K. Zhou;  Chi, Zongzheng;  J. Wang;  Y. Wu;  Li, Mingchu;  M. Li;  Zhou, Kuanjiu;  Wang, Jie; G. Hou;  Wu, Yanran;  Z. Chi",2016,"In green computing, the green evaluation of complex software system is an important research topic. Its task is to determine whether the software system meets the performance design constraints, such as time or energy consumption, under the premise of the function correctness. In software design phase, if the model based detection technology is used to do the green evaluation for software design, the redesign of software because the green indicator does not meet the design constraints can be avoided. Based on above ideas, we propose Energy Consumption Time State Transition Matrix(ETSTM) as the green software model, which can effectively model software logic, time and energy consumption. Through this way, we can realize the integration of software logic function and performance in one model. Then we put forward the maximum and minimum energy consumption path algorithm, and energy consumption analysis method under the constraint of multiple properties, which can provide theoretical support and technical means for model-based software green evaluation. At last, by modeling and verifying software of an intelligent sweeping robot based on ETSTM, the effectiveness of above method is proved. ",10.1109/TrustCom.2016.0280,IEEE Conferences,2016 IEEE Trustcom/BigDataSE/ISPA,Software Modelling,Green Software Model; Energy Consumption Modelling; Software Functionality Modelling; Design-Time Evaluation,Validation Research,Design-time Modelling and verification of software using a robotic system as an example case resulting in a Formal Model (STSTM) for analysis of software functionality and energy consumption,Method
Early analysis of software architecture to estimate energy consumption in android platform,"Al Nidawi, Hasan Sajid Atta;  Koh, Tieng Wei;  Dawood, Kareem Abbas;  Khaleel, Ammar",2018,"In recent years, the popularities of smartphones and its apps have been growing exponentially. This growth have made mobile applications more complex and require a large amount of energy to run in an efficient manner. It means mobile applications rely heavily on battery consumption. However, battery consumption is still a limiting factor in mobile applications development. To this end, a mobile software architecture plays a crucial role in determining the performance of a mobile application in terms of energy consumption. Up to date, there has been limited work to assist mobile applications developers to select the most suitable software architecture that intends to manage resources consumption during the design phase accordingly. Hence, this paper aims at presenting a consumption analysis of two different architectures, namely; Server-centric architecture and Mobile-centric architecture. This analysis helps to identify the least energy-consuming architecture. Moreover, Data Retrieval Information System (DRIS) in Android mobile applications has been used as a case study to prove the effects of software architectures concept in reducing energy consumption. The analysis results have shown that Mobile-centric architecture is less energy-consuming. ",,Article,Journal of Theoretical and Applied Information Technology,Mobile Software Engineering,Software-Architecture; Energy Consumption Estimation; Android; Design-Time Evaluation; Energy Consumption,Validation Research,Android mobile applications analyzed at design and implementation level using a case study regarding server-centric and mobile-centric archtiectures with respect to energy consumption,Empirical evidence
Empirical evaluation of two best practices for energy-efficient software development," Lago, Patricia; Procaccianti, Giuseppe;  Fernández, Héctor",2016,"Background. Energy efficiency is an increasingly important property of software. A large number of empirical studies have been conducted on the topic. However, current state-of-the-Art does not provide empirically-validated guidelines for developing energy-efficient software. Aim. This study aims at assessing the impact, in terms of energy savings, of best practices for achieving software energy efficiency, elicited from previous work. By doing so, it identifies which resources are affected by the practices and the possible trade-offs with energy consumption. Method. We performed an empirical experiment in a controlled environment, where we applied two different Green Software practices to two software applications, namely query optimization in MySQL Server and usage of ""sleep"" instruction in the Apache web server. We then performed a comparison of the energy consumption at system-level and at resource-level, before and after applying the practice. Results. Our results show that both practices are effective in improving software energy efficiency, reducing consumption up to 25%. We observe that after applying the practices, resource usage is more energy-proportional i.e., increasing CPU usage increases energy consumption in an almost linear way. We also provide our reflections on empirical experimentation in software energy efficiency. Conclusions. Our contribution shows that significant improvements in software energy efficiency can be gained by applying best practices during design and development. Future work will be devoted to further validate best practices, and to improve their reusability. ",10.1016/j.jss.2016.02.035,Article,Journal of Systems and Software,Software Engineering,Energy Efficiency Practices; Empirical Experimentation; Resource Utilization; Software Optimization; Energy Consumption,Validation Research,Controlled experimental evaluation of software best practices applied to database and web server systems resulting in empirical evidence on the effectiveness of selected best practices in reducing software energy consumption and improving energy profiling,Empirical evidence
Energy Consumption of&nbsp;IoT Monitoring Software Architectures in&nbsp;the&nbsp;Edge," P\'{e}rez, Jennifer; Ochoa, Juan Sebastian;  Guamán, Daniel;  Ca\~{n}as, Norberto;  Garc\'{\i}a, Javier;  Cañas, Norberto;  García, J. Espinosa;  Rodriguez-Horcajo, Vanessa;  Guam\'{a}n, Daniel;  Pérez, Jennifer",2024,"IoT has led energy consumption to be a critical issue for sustainability due to the huge amount of power connections of IoT devices and the huge amount of generated data that must be transmitted and stored. As a result, the data monitoring process and its processing activities must be performed by the nodes and servers of the Edge in a sustainable way. The IoT monitoring process of data consists of four main activities: listening, filtering, translating and routing. Once the data has been monitored, it can be stored and transmitted to the Edge/Cloud. In order to address sustainable monitoring processes in the Edge, it is necessary to evaluate how the configuration of the components that compose the Edge monitoring architecture may influence its energy consumption. In this paper, we present the experimental results of an exploratory study and its findings, in which the energy consumption of four different software architecture configurations of an indoor environmental monitoring IoT system is measured. From the execution of 24 experiments, the study reveals the importance of balancing the monitoring activities between the Edge nodes and servers, and evidences the energy consumption increment that data storage implies for the Edge. ",10.1007/978-3-031-70797-1_15,Conference paper,"Software Architecture: 18th European Conference, ECSA 2024, Luxembourg City, Luxembourg, September 3–6, 2024, Proceedings",Software Architecture,Monitoring; Software-Architecture Configuration; Energy Consumption; Internet-of-Things,Validation Research,Indoor IoT monitoring systems evaluated on Edge nodes and servers through controlled experiments giving empirical evidence on the energy consumption of different software architecture configurations for Edge-based IoT monitoring systems,Empirical evidence
