Title,DOI,Abstract,Year,source,Domain,Research_Keywords,Research_Approach,Context,Contribution,Document_Score
Inheritance versus Delegation: Which is more energy efficient?,10.1145/3387940.3392192,"Energy consumption of software is receiving more attention as concerns regarding climate change increase. One factor that significantly impacts how much energy is expended by a software application is the design of the software itself. Existing studies find few consistent results regarding the impact of common refactorings on energy consumption, nor do they define a concrete set of metrics that measure the energy efficiency of software. In this paper, we present the results of preliminary experiments that explore the Replace Inheritance with Delegation refactoring, and its inverse, to assess the impact these design-level refactorings have on energy consumption in the Java programming language. In the tested programs, inheritance proved to be more energy efficient than delegation, with a reduction in run time of 77% and a reduction in average power consumption of 4%. We subsequently propose a research plan to further explore this problem and observe a number of specific challenges in this area. The primary goals of this research are threefold: (i) to investigate how redundancy in an object-oriented design can contribute to unnecessary energy consumption, (ii) to determine how refactoring of the software can remove this redundancy, and (iii) to develop a general-purpose automated tool to perform this refactoring. ",2020,initial,Software Maintenance,Design Patterns; Energy Efficiency; Programming; Refactoring; Software Engineering,Validation Research,Java software systems analyzed through preliminary refactoring experiments on inheritance and delegation refactorings with respect to energy consumption,Empirical evidence,14
Investigating the impact on execution time and energy consumption of developing with Spring,10.1016/j.suscom.2021.100603,"Respect for the environment has become a feature of life that is essential to take into account in our present-day society. Nevertheless, although software consumes large amounts of energy, in the software development sector it seems that awareness of this issue is still lacking. As software engineers, we must contribute to bringing about a change of vision in the sector. A good way of doing so is by giving companies clear guidelines on how to act. In this paper we present an example of this, focused on Spring. Spring is a server-side Java development framework that reduces the time to market of new applications, helps developers to save a great deal of development time, and hence improves their productivity. Our objective is to discover whether all these advantages are also accompanied by good energy consumption behaviour. To that end, we have compared the execution time and the energy consumption required by three releases of the same application, developed with and without Spring. This paper presents all the details of the study carried out, and sets forth our conclusions on the suitability of using Spring in the development of software applications. ",2021,initial,Framework,Distributed Systems; Energy Efficiency; Frameworks and Tools; Metrics and Measurement; Programming Languages; Software Engineering,Evaluation Research,Server-side Java applications evaluated across multiple releases developed with and without the Spring framework giving empirical comparison of execution time and energy consumption of applications developed using the Spring framework versus plain Java,Empirical evidence,13
"Is it Worth Migrating a Monolith to Microservices? An Experience Report on Performance, Availability and Energy Usage",10.1109/ICWS62655.2024.00112,"The microservice architecture (MSA) emerged as an evolution of existing architectural styles with the promise of improving software quality by decomposing an app into modules that can be maintained, deployed, and scaled independently. However, the transition from a monolithic to a microservice architecture is fraught with difficulties, especially when it comes to assessing qualitative aspects, as controversial results can arise. In this paper, we present an experience report on the migration of a monolithic web application and use performance, availability and energy efficiency as quality attributes to shed light on such an architectural transition. Horizontal scaling, i.e., distributing the workload across several service instances, is applied and we study its impact.Our main findings are: i) when no app component is replicated, MSA outperforms the monolithic architecture; ii) the monolithic architecture shows performance and availability improvement when replicating the entire app; iii) the replicated MSA version reaches a ceiling when not replicating its routing part (i.e., the API gateway), showing worse response times compared to the replicated monolith; iv) when replicating the API gateway, the MSA version reaches optimal performance with fewer replicates than the monolith; v) when not replicating services, MSA consumes more CPU resources than the monolithic architecture; vi) when scaling up, the MSA version is more efficient than the replicated monolith in terms of memory usage, and it can better exploit CPU resources; vii) when not replicating services, MSA consumes more energy than the monolithic architecture, whereas when scaling up, the MSA version is more efficient than the replicated monolith; MSA version reaches a good balance between CPU and memory usage. ",2024,initial,Software Architecture,Architecture; Energy Efficiency; Performance; Software Quality,Evaluation Research,"Migration of a real-world web application from monolithic to microservice architecture with horizontal scaling to gain empirical insights into performance, availability, resource usage, and energy trade-offs when migrating from monoliths to microservices",Empirical evidence,14
Measuring and Analysing Erlang's Energy Usage,10.1109/MIPRO60963.2024.10569977,"Energy efficiency in software development has become an increasingly important research area in recent years. Previous studies investigated the impact of programming language and coding practices on energy consumption. The studies show that the Erlang programming language consumes more energy compared to other languages. In this paper, we would like to demonstrate that Erlang's energy behaviour is significantly better than the previous thought when a problem close to Erlang's design is measured. Therefore, when we are creating green software, we need to consider not only the programming language but also the problem domain. ",2024,initial,Software Engineering,Energy Efficiency; Programming Languages; Software Engineering,Evaluation Research,Software systems evaluated by measuring energy usage of Erlang programs in problem domains aligned with the language design showing that erlang's energy consumption depends strongly on the problem domain and can be more efficient than previously assumed,Empirical evidence,13.5
Native or web? A preliminary study on the energy consumption of android development models,10.1109/SANER.2016.93,"Energy consumption has become an increasingly important topic in software development, especially due to the ubiquity of mobile devices, and the choice of programming language can directly impact battery life. This paper presents a study on the issue of energy efficiency on the Android platform, comparing the performance and energy consumption of 33 different benchmarks in the two main programming languages employed in Android development: Java and JavaScript. Preliminary results show that Java applications may consume up to 36.27x more energy, with a median of 2.28x, than their JavaScript counterparts, in benchmarks that are mostly CPU-intensive. In some scenarios, though, Java benchmarks exhibited better energy efficiency, with JavaScript consuming up to 2.27x more energy. Based on these results, two Java applications were re-engineered, and through the insertion of JavaScript functions, hybrid applications were produced. In both cases, improvements in energy efficiency were obtained. Considering that Android apps written in Java are the norm, results from this study indicate that using a combination of JavaScript and Java may lead to a non-negligible improvement in energy efficiency. ",2016,initial,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming Languages; Software Engineering,Evaluation Research,Android applications evaluated using benchmark programs and hybrid implementations resulting in empirical evidence of the energy consumption of native Java and web-based JavaScript Android development models and evidence of energy savings through hybrid approaches,Empirical evidence,13.5
On the Energy Consumption of Web Applications: An Empirical Study of their Design Solutions,10.1109/GREENS66463.2025.00012,"Recent studies show that software systems account for approximately 6% of global energy consumption. Coupled with new regulations urging French organizations to adopt energy-efficient practices, this has increased the need for energy-conscious development methods. However, a key challenge remains the lack of detailed data on the impact of design solutions on software energy consumption, complicating efforts for software architects who must balance performance and energy efficiency. Without clear data on how design decisions - such as architectural styles, frameworks, and serialization methods - affect energy use, optimizing both performance and sustainability is difficult. Most existing studies on software energy consumption focus on small-scale projects and technologies irrelevant to Berger-Levrault's environment, where this study was conducted. To address this, we propose a methodology to evaluate the energy consumption of alternative design solutions using the Dynatrace Carbon Impact module, chosen for its compatibility with virtualized and cloud-based environments, and NeoLoad performance testing, selected for its compatibility with Berger-Levrault's specific technologies. Using this approach, we compared two versions of the same application: a legacy version built with Citrix, Java Swing, and RPC, and a modern version using Angular, Spring Boot, and REST. We also evaluated Protobuf versus JSON serialization. Our findings show that adopting Angular for the frontend and Spring Boot for the backend reduces overall energy consumption by approximately 70%. The Angular frontend uses 30 times less energy than Java Swing. Furthermore, Protobuf serialization reduces energy usage by 33% compared to JSON, due to its faster processing and lower memory requirements. These results highlight the energy-saving potential of modern web technologies and optimized data formats for sustainable software development. ",2025,initial,Software Architecture,Architecture; Communication Technologies; Energy Efficiency; Software Engineering; Web Applications,Evaluation Research,"Enterprise web applications evaluated in virtualized/cloud environment using performance and energy monitoring tools giving empirical evidence of the energy impact of alternative web design solutions, including frontedn frameworks, backend architectures, and serialization methods",Empirical evidence,13.5
Power consumption aware software architecture for M-health applications with adaptive security of network protocols,10.1109/TELSKS.2015.7357791,"The goal of this paper is development of software architecture for mobile devices, which is able to trade-off between security levels and power consumption. The analysis of the influence of different security protocols on power consumption is given. The proposed architecture is described in detail. Three different security levels with corresponding cipher suites are proposed: low, medium and high. The architecture is implemented on Android platform. The difference in power consumptions of the cipher suites in high and low security/power profiles is around 8.2% for WiFi, and 9.6% for 3G network. In order to further reduce the power consumption during network communication, the delay between sending two successive packets is analyzed. The proposed architecture is capable of stalling packets and sending them in burst-mode, letting the network interface to stay in low-power mode for a longer period of time. The power consumption in this mode is reduced for additional 25%. ",2015,initial,Software Architecture,Architecture; Energy Efficiency; Frameworks and Tools; Maintenance; Methodologies; Software Development Process; Software Engineering; Software Quality; Sustainability; System Software,Evaluation Research,Enterprise information system developed using Agile-layering aspect-oriented framework (ALAI) and evaluated through operational energy measurements compared to traditional Agile development,Empirical evidence,14.5
Programming Techniques for Energy-Efficient Software,10.1007/978-3-030-71616-5_15,"Software is becoming a central issue in decreasing the power consumption in low-power programmable computer systems. In such systems the amount of energy consumption caused by software has several impact of the systems costs. Minimizing power consumption is one of the primary challenges that applications developers faces due to lack of the running cost (x86 based computer) or the instrumentation functionality (Embedded Systems) of the system. This talk will focus on different prospects of energy usage and energy aware software design in computer systems mainly in Embedded Systems. Some examples of the role of programming techniques to rise the system energy efficiency, quantify the impact and fix the issues in applications to minimize the power consumption will be presented. The limits and differences in application of these techniques to x86 based server or HPC will be discussed. ",2021,initial,Design Patterns,Design Patterns; Energy Efficiency; Programming; Refactoring; Software Engineering,Evaluation Research,Java software systems evaluated through controlled experiments on texbook examples and an open-source project resulting in empirical evidence showing that removing the decorator design pattern can significantly reduce energy consumption in Java applications,Empirical evidence,15
Techniques for low energy software,10.1145/263272.263286,"The energy consumption of a system depends upon the hardware and software component of a system. Since it is the software which drives the hardware in most systems, decisions taken during software design has significant impact on the energy consumption of the processor. The paper focuses on decreasing energy consumption of a processor using software techniques. A novel compiler technique is proposed which reduces energy consumption by proper register labeling during the compilation phase. The idea behind this technique is to reduce the energy of the processor by reducing the energy of the instruction register (also the instruction data bus) and the register file decoder by encoding the register labels such that the sum of the switching costs between all the register labels in the transition graph is minimized. There is no hardware penalty since this is purely a compiler optimization. Results on benchmarks show that the energy consumption of the DLX processor can be reduced by 9.82% (maximum) and 4.25% (average) (as measured by DLX energy simulator). In addition several compiler techniques such as loop unrolling, software pipelining, recursion elimination and of effects of different algorithms on power and energy consumption are studied. This evaluation methodology is useful for computer architects to evaluate energy improvements of their hardware, compiler writers to evaluate energy of the compiled code and program writers to evaluate energy of data structures and algorithms.",1997,initial,Design Patterns,Design Patterns; Energy Efficiency; Refactoring; Software Engineering,Evaluation Research,Java software systems evaluated through controlled experiments on textbook examples and an open-source project resulting in empirical evidence of the energy impact of different implementation and removal of the Visitor design pattern,Empirical evidence,14
The impact of Distributed programming abstractions on application energy consumption,10.1016/j.infsof.2013.02.014,"With battery capacities remaining a key physical constraint for mobile devices, energy efficiency has become an important software design consideration. Distributed programming abstractions (e.g., sockets, RPC, messages, etc.) are an essential component of modern software, but their energy consumption characteristics are poorly understood. The programmer has few practical guidelines to choose the right abstraction for energy-constrained scenarios. In this article, we report on the findings of a systematic study we conducted to compare and contrast major distributed programming abstractions in terms of their energy consumption patterns. By varying the abstractions with the rest of the functionality fixed, we measure and analyze the impact of distributed programming abstractions on application energy consumption. Based on our findings, we present a set of practical guidelines for the programmer to select an abstraction that satisfies the energy consumption constraints in place. Our other guidelines can steer future efforts in creating energy efficient distributed programming abstractions. © 2013 Elsevier B.V. All rights reserved. ",2013,initial,Software Engineering,Energy Efficiency; Green Computing; Resource Optimization; Software Engineering; Sustainability,Evaluation Research,Software engineering processes and real-world software systems analyzed through empirical studies and case studies providing empirical insights and best practices for integrating green computing principles into software engineering to improve sustainability,Empirical evidence,13
Towards a sustainable architectural design by an adaptation of the architectural driven design method,10.1007/978-3-319-42108-7_6,"Sustainability is a global concern. It must be addressed by different sectors of society, even by the information technology sector. Moreover, such effort should not be only focused on direct impacts of technology over the environment, but also on the software engineering discipline by itself, which is facing now other dimensions of sustainability. In this paper, an adaptation of the Attribute-Driven Design method including sustainability as a driver is introduced. The proposal is based on sustainability guidelines established by the Karlskrona Manifesto. It involves a multidimensional sustainability analysis considering three levels of impacts and opportunities for each one of the architectural components. The adaptation is motivated by the design of a sustainable architecture of a cloud-based personal health record. The designed architecture is termed Health Catalogue Repository. It offers cloud services, allowing interoperability and timely access to patients’ clinical information. Energy consumption and resources optimization are contemplated like fundamental sustainability characteristics in the architectural design. The achieved design offers a better trade-off among quality attributes and sustainability constraints. The achieved design by using the proposal reduces the long-term impacts whilst increases the sustainability opportunities in architectural components. ",2016,initial,Software Architecture,Architecture; Cloud Computing; Design Patterns; Energy Efficiency; Metrics and Measurement; Performance; Software Engineering,Evaluation Research,"Cloud-deployed multi-process and multi-threaded applications evaluated using process-level energy measurements giving empirical evidence of the energy and performance impact of cloud design patterns, resulting in pracical guidelines for energy-aware cloud application design",Empirical evidence,13.5
Understanding the impact of cloud patterns on performance and energy consumption,10.1016/j.jss.2018.03.063,"Cloud patterns are abstract solutions to recurrent design problems in the cloud. Previous work has shown that these patterns can improve the Quality of Service (QoS) of cloud applications but their impact on energy consumption is still unknown. In this work, we conduct an empirical study on two multi-processing and multi-threaded applications deployed in the cloud, to investigate the individual and the combined impact of six cloud patterns (Local Database Proxy, Local Sharding Based Router, Priority Queue, Competing Consumers, Gatekeeper and Pipes and Filters) on the energy consumption. We measure the energy consumption using Power-API; an application programming interface (API) written in Java to monitor the energy consumed at the process-level. Results show that cloud patterns can effectively reduce the energy consumption of a cloud-based application, but not in all cases. In general, there appear to be a trade-off between an improved response time of the application and the energy consumption. Moreover, our findings show that migrating an application to a microservices architecture can improve the performance of the application, while significantly reducing its energy consumption. We summarize our contributions in the form of guidelines that developers and software architects can follow during the implementation of a cloud-based application. ",2018,initial,Software Engineering,Design Patterns; Energy Efficiency; Performance; Programming; Software Engineering,Evaluation Research,Software systems analyzed through empirical experiments assessing OOP features and design pattern usage on how object-oriented programming features and design patterns influence software performance and energy efficiency,Empirical evidence,14
APE: an annotation language and middleware for energy-efficient mobile application development,10.1145/2568225.2568288,"Energy-efficiency is a key concern in continuously-running mobile applications, such as those for health and context monitoring. Unfortunately, developers must implement complex and customized power-management policies for each application. This involves the use of complex primitives and writing error-prone multithreaded code to monitor hardware state. To address this problem, we present APE, an annotation language and middleware service that eases the development of energy-efficient Android applications. APE annotations are used to demarcate a power-hungry code segment whose execution is deferred until the device enters a state that minimizes the cost of that operation. The execution of power-hungry operations is coordinated across applications by the APE middleware. Several examples show the expressive power of our approach. A case study of using APE annotations in a real mobile sensing application shows that annotations can cleanly specify a power management policy and reduce the complexity of its implementation. An empirical evaluation of the middleware shows that APE introduces negligible overhead and equals hand-tuned code in energy savings, in this case achieving 63.4% energy savings compared to the case when there is no coordination.",2014,snowballing,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Frameworks and Tools; Performance; Empirical Research,Evaluation Research,The study empirically compares cross-platform mobile development frameworks against native development to assess their impact on energy consumption and performance.,Empirical evidence,13.5
An energy consumption framework for distributed java-based systems,10.1145/1321631.1321699,"In this paper we define and evaluate a framework for estimating the energy consumption of Java-based software systems. Our primary objective in devising the framework is to enable an engineer to make informed decisions when adapting a system's architecture, such that the energy consumption on hardware devices with a finite battery life is reduced, and the lifetime of the system's key software services increases. Our framework explicitly takes a component-based perspective, which renders it well suited for a large class of today's distributed, embedded, and pervasive applications. The framework allows the engineer to estimate the software system's energy consumption at system construction-time and refine it at runtime. In a large number of distributed application scenarios, the framework showed very good precision on the whole, giving results that were within 5% (and often less) of the actually measured power losses incurred by executing the software. Our work to date has also highlighted a number of possible enhancements",2007,snowballing,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming; Performance; Empirical Research; Resource Optimization,Evaluation Research,The study empirically evaluates common programming practices in Android apps to determine their effectiveness in reducing energy consumption.,Empirical evidence,14
